destination,country/city
Völkerkundemuseum,Germany
Goishi Kaigan,Japan
RIAS Ark Museum of Art,Japan
Praia de Paracuru,Brazil
Museo Maya de Cancún,"Mexico,Cancún"
Avenida Náder,"Mexico,Cancún"
Tidrum Hot Springs,"China,Tibet"
Drigung Til Monastery,"China,Tibet"
Lectoure,France
Seopori Beach,South Korea
Ichkeul National Park,Tunisia
Vaishno Devi Shrine,India
Musée Toulouse-Lautrec,France
Ksar Oued Soltane,Tunisia
Musée Horta,"Belgium,Brussels"
Old England Building,"Belgium,Brussels"
Grand Place,"Belgium,Brussels"
Parc du Cinquantenaire,"Belgium,Brussels"
Groeningemuseum,Belgium
Markt,Belgium
Parque Estadual do Alto do Ribeira,Brazil
Musée Villa Montabello,France
Nationalpark Schwarzwald,Germany
Vieux Nice,France
Trophée des Alpes,France
Villa Ephrussi de Rothschild,France
Limburgs Museum,The Netherlands
Théâtre Antique,France
Distillerie Les Agnels,France
Santa Maria Assunta,"France,Corsica"
Great Mosque,Tunisia
Mirante da Lagoa da Conceição,Brazil
Museu Afro-Brasil,"Brazil,São Paulo"
Château de Bouillon,Belgium
Beco do Batman,"Brazil,São Paulo"
Museu de Arte de São Paulo,"Brazil,São Paulo"
Blégny Mine,Belgium
Edifício Copan,"Brazil,São Paulo"
Citadelle de Namur,Belgium
Saratoga Spa State Park,USA
Susan B Anthony House,USA
Musée Hergé,Belgium
Velika Planina,Slovenia
Elizabeth Castle,The Channel Islands
Terra Mineralia,Germany
Ocoee Whitewater Center,USA
Dollywood,USA
Hauteville House,The Channel Islands
Alderney Society Museum,The Channel Islands
Sibley Mill,USA
Museum Plantin-Moretus,Belgium
Bokrijk Openluchtmuseum,Belgium
Stadhuis,Belgium
Green Bank Observatory,"USA,West Virginia"
Amicalola Falls,USA
The Adoration of the Mystic Lamb,Belgium
Mercier Orchards,USA
Tsali Recreation Area,USA
Sliding Rock Recreation Area,USA
Wormsloe Historic Site,USA
Hunting Island State Park,USA
Dolly Sods Wilderness,"USA,West Virginia"
Luray Caverns,"USA,Virginia"
Foxfire Museum & Heritage Center,USA
Coopers Rock State Forest,"USA,West Virginia"
West Virginia State Museum,"USA,West Virginia"
Pulau Pagang,Indonesia
Coca-Cola Space Science Center,USA
Woodbury Shoppe,USA
Vogel State Park,USA
Tallulah Gorge,USA
Toccoa Falls,USA
Dhigurah,Maldives
Carnegie Hall,"USA,West Virginia"
Ukulhas,Maldives
Anna Ruby Falls,USA
Sunset Hills Vineyard,"USA,Virginia"
Parque Nacional Isla Contoy,Mexico
Old Salem,USA
Deliplein,"The Netherlands,Rotterdam"
Museum Boijmans van Beuningen,"The Netherlands,Rotterdam"
Luchtsingel,"The Netherlands,Rotterdam"
Van Nelle Fabriek,"The Netherlands,Rotterdam"
Nieuwe Markt,The Netherlands
Ward Museum of Wildfowl Art,"USA,Maryland"
Thrasher Carriage Museum,"USA,Maryland"
Internationales Keramik-Museum,Germany
Central Oʻahu Regional Park,"USA,Hawaii"
Božidar Jakac Art Museum,Slovenia
Museo di Capodimonte,Italy
Galleria Borbonica,Italy
Brandywine Falls,USA
Museo Archeologico Nazionale,Italy
Cappella Sansevero,Italy
High Point State Park,USA
Arboretum,"USA,Pennsylvania"
Hoover-Mason Trestle,"USA,Pennsylvania"
Fallingwater,"USA,Pennsylvania"
Sok Tsanden Monastery,"China,Tibet"
Iglesia Mayor,"Spain,Andalucía"
Glasgow School of Art,"Scotland,Glasgow"
Jikji-sa,South Korea
Sharmanka Kinetic Theatre,"Scotland,Glasgow"
Château de Foix,France
Glasgow Cathedral,"Scotland,Glasgow"
Mackintosh House,"Scotland,Glasgow"
Riverside Museum,"Scotland,Glasgow"
Magdalen College,England
Ashmolean Museum,England
Christ Church,England
Clifton Suspension Bridge,England
Roman Baths,England
Praia do Rostro,Spain
No 1 Royal Crescent,England
Brunel's SS Great Britain,England
Caldwell House,USA
Cable Mill Historic Area,USA
St Michaelis Kirche,"Germany,Hamburg"
Elbphilharmonie,"Germany,Hamburg"
Playa Escondida,Mexico
Museum für Kunst und Gewerbe,"Germany,Hamburg"
Altonaer Balkon,"Germany,Hamburg"
Meuse-Argonne American Cemetery,France
Parc Naturel Interrégional du Marais Poitevin,France
Fischmarkt,"Germany,Hamburg"
Mahnmal St-Nikolai,"Germany,Hamburg"
Deutsches Museum – Verkehrszentrum,"Germany,Munich"
Schloss Nymphenburg,"Germany,Munich"
Deutsches Museum,"Germany,Munich"
Englischer Garten,"Germany,Munich"
Residenzmuseum,"Germany,Munich"
Alte Pinakothek,"Germany,Munich"
Fondazione Prada,Italy
Lieu de Mémoire,France
Reading Terminal Market,"USA,Pennsylvania,Philadelphia"
Platja Illetes,Spain
Congaree National Park,USA
Basil & Elise Goulandris Foundation,"Greece,Athens"
National Archaeological Museum,"Greece,Athens"
Byzantine & Christian Museum,"Greece,Athens"
Acropolis Museum,"Greece,Athens"
Ancient Agora,"Greece,Athens"
Church of Agios Dimitrios Loumbardiaris,"Greece,Athens"
Kerameikos,"Greece,Athens"
Temple of Olympian Zeus,"Greece,Athens"
Country Music Hall of Fame & Museum,USA
El Cuajilote,Mexico
Rail Park,"USA,Pennsylvania,Philadelphia"
Glasgow Cathedral,Scotland
Barnes Foundation,"USA,Pennsylvania,Philadelphia"
30th St Station,"USA,Pennsylvania,Philadelphia"
Philadelphia's Magic Gardens,"USA,Pennsylvania,Philadelphia"
City Hall,"USA,Pennsylvania,Philadelphia"
Independence Hall,"USA,Pennsylvania,Philadelphia"
Na Hu,Vietnam
Valle de los Monjes,Mexico
Martin Luther King Jr National Historic Site,USA
Uritorco,Argentina
High Museum of Art,USA
Center for Civil & Human Rights,USA
La Seu,Spain
Thrangu Tashi Yangtse Monastery,Nepal
Mos Espa,Tunisia
Musée Matisse,"France,Nice"
Institut Culturel Bernard Magrez,France
La Cité du Vin,France
Musée d’Art Moderne et d’Art Contemporain,"France,Nice"
Basilique St-Michel,France
Promenade des Anglais,"France,Nice"
Colline du Château,"France,Nice"
Miroir d’Eau,France
Cala de Enmedio,"Spain,Andalucía"
La Roque d'Autoire,France
Territorio Mapa Lahual,Chile
Museo Histórico,Argentina
Centro de Visitantes San Nicolás,Argentina
Visitor Center,Argentina
Clos Mogador,Spain
Aiken-Rhett House,USA
Laurel Grove Cemetery,USA
Forsyth Park,USA
Bonaventure Cemetery,USA
Al Mina,Lebanon
Temple of Bacchus,Lebanon
Heyward-Washington House,USA
College of Charleston,USA
Historic Christ Church,"USA,Virginia"
Cascahuín,Mexico
Historic Stagville Plantation,USA
Backstreet Cultural Museum,USA
Cap de la Chèvre,France
Rocher de Bonnevie,France
Projeto Montanha,
Concatedral de Santa María,Spain
Santuario de Flora y Fauna Malpelo,Colombia
Barataria Preserve,USA
Shabo Winery,Ukraine
Estación Internacional de Canfranc,Spain
Playa Blanca,Colombia
Coney Island,USA
Brooklyn Museum,USA
Convento de los Franciscanos,Colombia
Museo Arqueológico  Eliécer Silva Célis,Colombia
Green-Wood Cemetery,USA
Red Hook Winery,USA
Fort Greene Park,USA
Las Gachas,Colombia
Brooklyn Bridge Park,USA
Bushwick Collective,USA
En Avdat National Park,Israel
Sary-Chelek Biosphere Reserve,Kyrgyzstan
Jayma Bazaar,Kyrgyzstan
Pozos Naturales,Colombia
Ala-Köl,Kyrgyzstan
Köl-Tör Lake,Kyrgyzstan
Tulpar-Köl,Kyrgyzstan
Yurt-Shaped Мausoleum,Kyrgyzstan
Beit She’an National Park,Israel
Oslo Opera House,"Norway,Oslo"
Upper Galilee Museum of Prehistory,Israel
Yehudiya Nature Reserve,Israel
Quneitra Viewpoint,Israel
Hulbuk Fortress,Tajikistan
Tost Tosonbumba Nature Reserve,Mongolia
Qumran National Park,Israel
Hubbard Glacier,"USA,Alaska"
Langelandsfort,Denmark
St Alexander Svirsky Church on Khizhgora,Russia
Dara Nine Lakes,Mongolia
Saltstraumen Maelstrom,Norway
Fin del Mundo,Colombia
Calauit Safari Park,Philippines
Qasr Burqu & Lake,Jordan
Arco d'Augusto,Italy
Afianes Winery,Greece
Gibran Museum,Lebanon
Sayano-Shushenskaya Dam,Russia
Waterfall,Mongolia
Nyborg Slot,Denmark
Euskal Museoa,"Spain,Basque Country"
Folklore Museum,Greece
Hattulan Pyhän Ristin,Finland
East Moudros Military Cemetery,Greece
Ancient Eleusis,Greece
Museo Guggenheim Bilbao,"Spain,Basque Country"
Parque de Cristina Enea,"Spain,Basque Country"
Playa de la Concha,"Spain,Basque Country"
Aquarium,"Spain,Basque Country"
Ancient Messini,Greece
Burana Tower,Kyrgyzstan
Pundaquit,Philippines
Driggs Geotourism Center,USA
Aventicum,Switzerland
Antichi Poderi di Jerzu,"Italy,Sardinia"
Garden of Daniel Spoerri,"Italy,Tuscany"
Parque Nacional Natural Sierra de La Macarena,Colombia
Design Museum Holon,Israel
J Millard Tawes Historical Museum,"USA,Maryland"
Blackwater National Wildlife Refuge,"USA,Maryland"
Patapsco Valley State Park,"USA,Maryland"
St Ignatius Church,"USA,Maryland"
St Patrick's Church,Ireland
Rhône Glacier,Switzerland
Redden State Forest,"USA,Delaware"
George Washington Birthplace National Monument,"USA,Virginia"
Martelli Pasta Factory,"Italy,Tuscany"
Valdemars Slot,Denmark
Tåsinge Museum,Denmark
Fort Pilar Museum,Philippines
Black Moshannon State Park,"USA,Pennsylvania"
Blackwater Falls State Park,"USA,West Virginia"
Tracks and Trails Museum,USA
Abbazia di San Michele Arcangelo a Passignano,"Italy,Tuscany"
Phu Khor Viewpoint,Thailand
Pieve di San Leolino,"Italy,Tuscany"
Sanzen-in,Japan
Castello di Ama,"Italy,Tuscany"
Chincoteague National Wildlife Refuge,"USA,Virginia"
Kurama-dera,Japan
Casinò di San Pellegrino Terme,Italy
Sampela,Indonesia
Long Beach,Philippines
Desa Mola,Indonesia
Grotta Zinzulusa,"Italy,Puglia"
Abbadia a Isola,"Italy,Tuscany"
St Anna Catholic Church,Thailand
Masjid Nurul Salsabeel,Thailand
Na Muang Waterfall 1,Thailand
Fisherman's Village,Thailand
Wat Khao Hua Jook,Thailand
Rungus Museum,Malaysia
Mundo Perdido,
Split Rock Lighthouse State Park,USA
Martyanov Museum,Russia
Pikes Peak,USA
Kronborg Slot,Denmark
Storebælts-forbindelsen,Denmark
Koldkrigsmuseum Stevnsfort,Denmark
Keldby Kirke,Denmark
Helford Village,England
Mask of Sorrow,Russia
Narona Archaeological Museum,Croatia
Via degli Asini,Italy
Bai Bau,Vietnam
Medelhavsmuseet,"Sweden,Stockholm"
Bonniers Konsthall,"Sweden,Stockholm"
Frederiksberg Have,"Denmark,Copenhagen"
Konditaget Lüders,"Denmark,Copenhagen"
John Glenn Astronomy Park,USA
Prussia Cove,England
Latin Quarter,"Denmark,Copenhagen"
Christiania,"Denmark,Copenhagen"
Nyhavn,"Denmark,Copenhagen"
Christiansborg Slot,"Denmark,Copenhagen"
Tivoli Gardens,"Denmark,Copenhagen"
Rosenborg Slot,"Denmark,Copenhagen"
Tuyuk-Tör Petroglyphs,Kyrgyzstan
Rampart Casino,USA
Lake Mohave,USA
Manalkadu Beach,Sri Lanka
Fallen Water Tower,Sri Lanka
Sea Tiger Shipyard,Sri Lanka
Kottawa Conservation Forest,Sri Lanka
John Deere Tractor & Engine Museum,USA
Three Rivers Historical Museum,"USA,California"
San Jacinto Battleground State Historic Site,"USA,Texas"
Toktogul Reservoir,Kyrgyzstan
Seven Magic Mountains,USA
Figge Art Museum,USA
Kurmanjan Datka Museum,Kyrgyzstan
Stadshuset,"Sweden,Stockholm"
Historiska Museet,"Sweden,Stockholm"
Fotografiska,"Sweden,Stockholm"
Vasamuseet,"Sweden,Stockholm"
Tigertail Beach,"USA,Florida"
Lake Chala,Kenya
St Nicholas Greek Orthodox Cathedral,"USA,Florida"
Kungliga Slottet,"Sweden,Stockholm"
Frontera Audubon,"USA,Texas"
Wichita Mountains Wildlife Refuge,USA
EFSC Planetarium & Observatory,"USA,Florida"
Jetty Park,"USA,Florida"
Damstredet,"Norway,Oslo"
Varner-Hogg Plantation,"USA,Texas"
Grandad Bluff,USA
Washington County Historic Courthouse,USA
Fayoum Pottery School,Egypt
Valiant Air Command Warbird Museum,"USA,Florida"
Ekebergparken,"Norway,Oslo"
Rod Bianco,"Norway,Oslo"
Ibsen Museet,"Norway,Oslo"
Old Radio Museum,Greece
Vigelandsparken,"Norway,Oslo"
Vikingskipshuset,"Norway,Oslo"
Agioi Taxiarhes,Greece
Agios Nikolaos,Greece
Theophilos Museum,Greece
St John the Baptist,USA
Harley-Davidson Museum,USA
Boldt Castle,USA
H Lee White Marine Museum,USA
Tuskegee Airmen National Historic Site,USA
Soglio,Switzerland
Design Museum,"Finland,Helsinki"
Helsingin Kaupunginmuseo,"Finland,Helsinki"
Ateneum,"Finland,Helsinki"
Linnanmäki,"Finland,Helsinki"
Kansallismuseo,"Finland,Helsinki"
Old Burying Ground,USA
Hamilton Pool Preserve,"USA,Texas"
Jim Thompson House,Thailand
Mt Bonnell,"USA,Texas"
Hope Outdoor Gallery,"USA,Texas"
Changpyeong Slow City,South Korea
Foggy Mountain Gem Mine,USA
National Print Museum,"Ireland,Dublin"
Barberville Pioneer Settlement,"USA,Florida"
Tweetsie Railroad,USA
Trafalgar Falls,Dominica
Stone Barns Center for Food & Agriculture,USA
Dia:Beacon,USA
Knapp Winery & Restaurant,USA
Dr Konstantin Frank,USA
Killruddery House & Gardens,Ireland
Billsboro Winery,USA
Hilden Brewery,
Old Library & Book of Kells,Ireland
Vihara Dharma Sasana,Indonesia
Narin Ghale,Iran
Soarin' Around the World,"USA,California"
Hyperspace Mountain,"USA,California"
Knott’s Berry Farm,"USA,California"
Shams Tabrizi Tomb,Iran
Kewa Pueblo,USA
San Ildefonso Pueblo,USA
Disneyland Resort,"USA,California"
Museo Loyola,Mexico
Qam Cheqay,Iran
Vivac Winery,USA
El Santuario de Chimayó,USA
Cerrillos Hills State Park,USA
Hamilton Heritage Centre,"Australia,Tasmania"
NDSM-werf,"The Netherlands,Amsterdam"
Nariva Swamp,
Halepalaoa Beach,"USA,Hawaii"
Tarraleah,"Australia,Tasmania"
MAMA,"Australia,New South Wales"
Bungonia National Park,"Australia,New South Wales"
Suakin Island,Sudan
Lake Zarivar,Iran
Soleb,Sudan
Choqa Zanbil Ziggurat,Iran
19 Karen,"Australia,Queensland"
Bisotun Inscriptions,Iran
Currumbin Wildlife Sanctuary,"Australia,Queensland"
Sétif Museum,Algeria
Zafaraniyeh,Iran
Tomb Towers,Iran
Roein,Iran
Aynekhane,Iran
Gippsland Vehicle Collection,"Australia,Victoria"
Sambawan Island,Philippines
Takht-e Soleiman Ruins,Iran
Rock Formations,Philippines
Shear Outback,"Australia,New South Wales"
Cherchell Museum,Algeria
Kuhdasht Salt Mine,Iran
Jemez Historic Site,USA
Georges Island,USA
Qal'eh Rudkhan,Iran
Qaleh Dokhtar,Iran
Tabriz Bazaar,Iran
Qa'en Castle Peak,Iran
Gozalandia,Puerto Rico
Bezayit Bastami Complex,Iran
Penobscot Marine Museum,USA
Qaleh Tarikhi,Iran
Onkadelli Market,India
Mission Sainte Anne,Gabon
Dhauli,India
Islesford Historical Museum,USA
Rockport Marine Park,USA
Aldrich Contemporary Art Museum,USA
Pink Lake,"Australia,Western Australia"
Observatorio de Arecibo,Puerto Rico
Sag Harbor Whaling & Historical Museum,USA
Olana,USA
Home of Franklin D Roosevelt,USA
Little Haiti Cultural Center,"USA,Florida"
Greenough Wildlife & Bird Park,"Australia,Western Australia,Geraldton"
Longships Lighthouse,England
Dawlish Warren,England
Start Point Lighthouse,England
Overbeck’s,England
Bantham Beach,England
Northam Burrows,England
Burgh Island,England
Cookworthy Museum of Rural Life,England
Hartland Abbey,England
Arlington Court,England
Museum of British Surfing,England
Beer Quarry Caves,England
Donkey Sanctuary,England
Pebblebed Vineyard,England
Yearlstone Vineyard,England
Greenway,England
Exeter Cathedral,England
Clovelly Historic Village,England
Porth Kidney,England
St Michael's Mount,England
A La Ronde,England
Botallack,England
Knightshayes Court,England
Newlyn Art Gallery,England
Predannack Wollas,England
The Loe,England
Kynance Cove,England
Tintagel Castle,England
Church Cove,England
Carn Brea,England
Godolphin,England
Daymer Bay,England
Rame Head,England
Caerhays Castle,England
Charlestown Shipwreck & Heritage Centre,England
Potager Garden,England
Cornish Seal Sanctuary,England
Trelissick,England
Golitha Falls,England
Cotehele,England
Lanhydrock,England
Eden Project,England
Rainbow Valley Conservation Reserve,"Australia,Northern Territory"
Camel Valley Vineyard,England
Chambers Pillar,"Australia,Northern Territory"
Il Giardino dei Tarocchi,"Italy,Tuscany"
Mt Connor,"Australia,Northern Territory"
Henbury Meteorite Craters,"Australia,Northern Territory"
Delaware Canal State Park,"USA,Pennsylvania"
Fort Delaware Museum,USA
Railroad Museum of Pennsylvania,"USA,Pennsylvania"
Cappella del Barolo,Italy
Landis Valley Museum,"USA,Pennsylvania"
Washington Crossing State Park,"USA,New Jersey"
Ecomuseum,Gabon
Parramatta Park,"Australia,New South Wales"
Ranjit Villas Palace,India
Rock Island State Park,USA
Chã Vinho do Fogo,
Chimpanzee Rehabilitation Project,The Gambia
Old Kempton Distillery,"Australia,Tasmania"
Young's Jersey Dairy,USA
Cedar Point Amusement Park,USA
Chefferie,Cameroon
Dairy Barn Arts Center,USA
Discover Atlantis Tour,The Bahamas
Chand Baori,"India,Rajasthan"
Tarndwarncoort Homestead,"Australia,Victoria"
Corning Museum of Glass,USA
Centre de Conservation pour Chimpanzés,Guinea
Cité de Niger,Guinea
Qohaito,Eritrea
Camel Market,Eritrea
Kafa Coffee Museum,Ethiopia
Hirayu Folk Museum,Japan
Claudio Corallo Chocolate Factory,
Museum of the Cherokee Indian,USA
Lake Martin,USA
Wetlands Acadian Cultural Center,USA
RW Norton Art Gallery,USA
Chutes de Kambadaga,Guinea
Cão Grande,
Willett,USA
Pico de São Tomé,
Gulf Islands National Seashore,USA
Angel Tree,USA
Praia dos Tamarindos,
Mizuki Shigeru Museum,Japan
Table Rock State Park,USA
Yaguarón Church,Paraguay
Harbour Town Lighthouse,USA
Sevanavank,Armenia
Reserva Natural de Rio Campo,Equatorial Guinea
Kahuku Unit,"USA,Hawaii"
Nippy's Factory,"Australia,South Australia"
Dolphin House,The Bahamas
Mornington Wilderness Camp,"Australia,Western Australia"
Sengan-en,Japan
Carolina Basketball Museum,USA
Laratinga Wetlands,"Australia,South Australia"
Emma Gorge,"Australia,Western Australia"
Mowanjum Art & Culture Centre,"Australia,Western Australia"
Nagasaki Atomic Bomb Museum,Japan
Kyūshū National Museum,Japan
Resum Gompa,India
Fairchild Tropical Garden,"USA,Florida"
Mamiku Gardens,St Lucia
Oleta River State Park,"USA,Florida"
Máximo Gómez Park,"USA,Florida"
Bill Baggs Cape Florida State Park,"USA,Florida"
Margulies Collection at the Warehouse,"USA,Florida"
Bayfront Park,"USA,Florida"
Pura Gede Luhur Batu Ngaus,Indonesia
Vizcaya Museum & Gardens,"USA,Florida"
Wolfsonian-FIU,"USA,Florida"
National Sporting Museum,"USA,Virginia"
Freedom House Museum,"USA,Virginia"
Arlington National Cemetery,"USA,Virginia"
Madras Crocodile Bank,India
Delaware Seashore State Park,"USA,Delaware"
Calvert Cliffs State Park,"USA,Maryland"
Historic St Mary's City,"USA,Maryland"
Wye Island Natural Resource Management Area,"USA,Maryland"
Pocomoke River State Park,"USA,Maryland"
Cape Kumukahi,"USA,Hawaii"
New Kaimu Beach,"USA,Hawaii"
Lepenski Vir,Serbia
Green Meadows Farm,"USA,Florida"
Bandelier National Monument,USA
