destination,continent,country,city
Coptic Cairo,Africa,Egypt,Cairo
Solar Boat Museum (at the Pyramids of Giza),Africa,Egypt,Cairo
Museum of Islamic Art,Africa,Egypt,Cairo
City Stars,Africa,Egypt,Cairo
Mall of Arabia,Africa,Egypt,Cairo
Nomad (Cairo Marriott Hotel Branch),Africa,Egypt,Cairo
After Eight,Africa,Egypt,Cairo
Almaz,Africa,Egypt,Cairo
Pour Vous Roof Top Bar,Africa,Egypt,Cairo
The Lemon Tree & Co.,Africa,Egypt,Cairo
Sabaya,Africa,Egypt,Cairo
Osmanly,Africa,Egypt,Cairo
Fayruz Lebanese Restaurant,Africa,Egypt,Cairo
Birdcage,Africa,Egypt,Cairo
Massala,Africa,Egypt,Cairo
Maestro Italian Restaurant,Africa,Egypt,Cairo
Al-Azhar Park,Africa,Egypt,Cairo
Bayt Al-Suhaymi,Africa,Egypt,Cairo
Alabaster Sphinx,Africa,Egypt,Cairo
Nilometer,Africa,Egypt,Cairo
Mohammad Ali Mosque,Africa,Egypt,Cairo
Cairo Opera House,Africa,Egypt,Cairo
The Diamond Works,Africa,Namibia,Windhoek
CYMOT,Africa,Namibia,Windhoek
Maerua Mall,Africa,Namibia,Windhoek
Wecke & Voigts,Africa,Namibia,Windhoek
Old Breweries Craft Market,Africa,Namibia,Windhoek
Post Street Mall,Africa,Namibia,Windhoek
Que Tapas!,Africa,Namibia,Windhoek
Andy's,Africa,Namibia,Windhoek
Boiler Room,Africa,Namibia,Windhoek
The Wine Bar,Africa,Namibia,Windhoek
Chopsi's,Africa,Namibia,Windhoek
Cramer Ice Cream,Africa,Namibia,Windhoek
Wecke & Voigts Coffee Shop,Africa,Namibia,Windhoek
Old Continental Cafe & Take Away,Africa,Namibia,Windhoek
Craft Cafe,Africa,Namibia,Windhoek
Cafe Balalaika,Africa,Namibia,Windhoek
Sardinia Blue Olive,Africa,Namibia,Windhoek
The Social,Africa,Namibia,Windhoek
Leo's @ Heinitzburg Castle,Africa,Namibia,Windhoek
Nice Restaurant & Bar,Africa,Namibia,Windhoek
Xwama Traditional Restaurant,Africa,Namibia,Windhoek
The Stellenbosch Wine Bar and Bistro,Africa,Namibia,Windhoek
Skeleton Coast & Cape Cross,Africa,Namibia,Windhoek
Joe’s Beerhouse,Africa,Namibia,Windhoek
Namib-Naukluft National Park,Africa,Namibia,Windhoek
Trans-Namib Transport Museum,Africa,Namibia,Windhoek
Alte Feste,Africa,Namibia,Windhoek
NamibRand Nature Reserve,Africa,Namibia,Windhoek
Zoo Park,Africa,Namibia,Windhoek
National Botanic Garden of Namibia,Africa,Namibia,Windhoek
Daan Viljoen Game Reserve,Africa,Namibia,Windhoek
Independence Memorial Museum,Africa,Namibia,Windhoek
Christ Church,Africa,Namibia,Windhoek
Dar Bibine,Africa,Tunisia,Djerba
Curepipe,Africa,Mauritius,Mauritius
Phoenix Mall,Africa,Mauritius,Mauritius
Arsenal District,Africa,Mauritius,Mauritius
Big Willy's,Africa,Mauritius,Mauritius
Caudan Waterfront,Africa,Mauritius,Mauritius
Lakaz Cascavelle,Africa,Mauritius,Mauritius
BARaBAR,Africa,Mauritius,Mauritius
Moustache Bistro,Africa,Mauritius,Mauritius
The Beach House,Africa,Mauritius,Mauritius
Heritage C Beach Club,Africa,Mauritius,Mauritius
Delibake Cafe & Bakery,Africa,Mauritius,Mauritius
Lemon Tree Café,Africa,Mauritius,Mauritius
Central Market Port Louis,Africa,Mauritius,Mauritius
Îlot Café,Africa,Mauritius,Mauritius
Cafe de la Presse,Africa,Mauritius,Mauritius
Bagatelle Mall,Africa,Mauritius,Mauritius
Chelsea's Cup n' Cake,Africa,Mauritius,Mauritius
Amigo,Africa,Mauritius,Mauritius
Palais de Barbizon,Africa,Mauritius,Mauritius
Café Müller,Africa,Mauritius,Mauritius
Lambic,Africa,Mauritius,Mauritius
Le Café des Arts,Africa,Mauritius,Mauritius
Frenchie Café,Africa,Mauritius,Mauritius
Le Fangourin,Africa,Mauritius,Mauritius
Black River Gorges National Park,Africa,Mauritius,Mauritius
Eureka,Africa,Mauritius,Mauritius
Le Morne Brabant,Africa,Mauritius,Mauritius
Flic en Flac,Africa,Mauritius,Mauritius
Grand Bassin,Africa,Mauritius,Mauritius
Île aux Aigrettes,Africa,Mauritius,Mauritius
Île aux Cerfs,Africa,Mauritius,Mauritius
Pereybère,Africa,Mauritius,Mauritius
Grand Bay,Africa,Mauritius,Mauritius
Balaclava ruins,Africa,Mauritius,Mauritius
Hotel Flamingo Beach,Africa,Tunisia,Djerba
Hotel Telemaque Beach & Spa,Africa,Tunisia,Djerba
Hotel & Restaurant Arischa,Africa,Tunisia,Djerba
Vincci Djerba Resort,Africa,Tunisia,Djerba
Sunset Beachbar,Africa,Tunisia,Djerba
Bar Ithaque,Africa,Tunisia,Djerba
Houmt Souk Bazar,Africa,Tunisia,Djerba
La Taverne Djerba,Africa,Tunisia,Djerba
Le Cyclone,Africa,Tunisia,Djerba
Café Ben Yedder,Africa,Tunisia,Djerba
Havana Cafe - La Marina,Africa,Tunisia,Djerba
El Flouka,Africa,Tunisia,Djerba
Rachid et Sophie,Africa,Tunisia,Djerba
Chez Mamam,Africa,Tunisia,Djerba
Restaurant Essofra,Africa,Tunisia,Djerba
Ristorante Haroun,Africa,Tunisia,Djerba
Chouchou,Africa,Tunisia,Djerba
Plage de la Seguia,Africa,Tunisia,Djerba
Delice Resto,Africa,Tunisia,Djerba
Plage Sidi Maharès,Africa,Tunisia,Djerba
Musée des Traditions Guellala,Africa,Tunisia,Djerba
Bordj el Kebir,Africa,Tunisia,Djerba
Musée des Arts et Traditions Populaires,Africa,Tunisia,Djerba
Central Park Shopping Center,Africa,Tunisia,Tunis 
Labedi Apiculture,Africa,Tunisia,Tunis 
Deyma,Africa,Tunisia,Tunis 
Marche Lafayette,Africa,Tunisia,Tunis 
Rue Charles de Gaulle,Africa,Tunisia,Tunis 
Librairie Espace Diwan,Africa,Tunisia,Tunis 
La Closerie,Africa,Tunisia,Tunis 
Le Boeuf sur le Toit,Africa,Tunisia,Tunis 
Plaza Corniche,Africa,Tunisia,Tunis 
Jamaica,Africa,Tunisia,Tunis 
Villa Didon,Africa,Tunisia,Tunis 
Le Comptoir de Tunis,Africa,Tunisia,Tunis 
Harry's Pub,Africa,Tunisia,Tunis 
Le Carpe Diem,Africa,Tunisia,Tunis 
Café El M'rabet,Africa,Tunisia,Tunis 
Sky Bar Novotel Hotel Tunis,Africa,Tunisia,Tunis 
Medina of Tunis,Africa,Tunisia,Tunis 
Topkapi Coffee Shop,Africa,Tunisia,Tunis 
Chaouachine,Africa,Tunisia,Tunis 
Le Grand Cafe du Theatre,Africa,Tunisia,Tunis 
Sidi Ben Arous,Africa,Tunisia,Tunis 
Insomnia,Africa,Tunisia,Tunis 
Calcutta,Africa,Tunisia,Tunis 
Restaurant La Mamma,Africa,Tunisia,Tunis 
Fresh K Salad Shop,Africa,Tunisia,Tunis 
Chez Chouchou,Africa,Tunisia,Tunis 
Omek Sanafa,Africa,Tunisia,Tunis 
Fondouk El Attarine,Africa,Tunisia,Tunis 
Chez Slah,Africa,Tunisia,Tunis 
The Cliff,Africa,Tunisia,Tunis 
Dar El Jeld,Africa,Tunisia,Tunis 
Dar Lasram,Africa,Tunisia,Tunis 
Sidi Bou Said,Africa,Tunisia,Tunis 
Japanese Garden,Africa,Tunisia,Tunis 
Archaeological Site of Carthage,Africa,Tunisia,Tunis 
Mosque Sidi Youssef,Africa,Tunisia,Tunis 
Kasbah Square,Africa,Tunisia,Tunis 
Former Islamic Schools,Africa,Tunisia,Tunis 
Cathedral of St. Vincent de Paul,Africa,Tunisia,Tunis 
Zitouna Mosque,Africa,Tunisia,Tunis 
North Africa American Cemetery and Memorial,Africa,Tunisia,Tunis 
Aries,Africa,Tunisia,Djerba
Chichkhan,Africa,Tunisia,Djerba
El Ferida,Africa,Tunisia,Djerba
Restaurant Sidi Ali,Africa,Tunisia,Djerba
Gightis,Africa,Tunisia,Djerba
Nefta,Africa,Tunisia,Djerba
The Ghriba Synagogue,Africa,Tunisia,Djerba
Houmt Souk - The Market Area,Africa,Tunisia,Djerba
The Mosques,Africa,Tunisia,Djerba
Shatan Hotel Beijing,Asia,China,Beijing
Courtyard 7,Asia,China,Beijing
Ibis Beijing Jianguomen Hotel,Asia,China,Beijing
Hilton Beijing Capital Airport,Asia,China,Beijing
Citytel Inn,Asia,China,Beijing
Heyuan International Youth Hostel,Asia,China,Beijing
Beijing Serviced Stay-State Apartments,Asia,China,Beijing
Dragon King Hostel  ,Asia,China,Beijing
Beijing Antique City / 北京古玩城,Asia,China,Beijing
Park Plaza Beijing Wangfujing,Asia,China,Beijing
Holiday Inn Express Beijing Dongzhimen,Asia,China,Beijing
Wangfujing / 王府井,Asia,China,Beijing
Yandaixie Street / 烟袋斜街,Asia,China,Beijing
Taikoo Li Sanlitun / 太古里,Asia,China,Beijing
Joy City / 大悦城,Asia,China,Beijing
Liulichang Street / 琉璃厂,Asia,China,Beijing
Qianmen Street / 前门,Asia,China,Beijing
Modo Ultra Club,Asia,China,Beijing
Cafe Zarah,Asia,China,Beijing
Ten Fu’s Tea / 天福茗茶,Asia,China,Beijing
Hongqiao Pearl Market / 红桥珍珠市场,Asia,China,Beijing
China World Mall / 中国国际贸易中心,Asia,China,Beijing
Panda Brew Pub / 熊猫精酿,Asia,China,Beijing
Nuoyan Wine House / 糯言酒馆,Asia,China,Beijing
Shi Cha Hai / 什刹海,Asia,China,Beijing
Sirena Bar / 海妖餐吧,Asia,China,Beijing
Mix Club / 密克斯酒吧,Asia,China,Beijing
Beijing Oriental Plaza / 东方新天地,Asia,China,Beijing
Mosto / 南美牛扒屋,Asia,China,Beijing
Baoyuan Jiaozi Wu / 宝源饺子屋,Asia,China,Beijing
The Bookworm / 老书虫,Asia,China,Beijing
Annie's / 安妮意大利餐厅,Asia,China,Beijing
Huang Ting / 凰庭,Asia,China,Beijing
Haidilao Hot Pot / 海底捞,Asia,China,Beijing
TRB Hutong,Asia,China,Beijing
The Cut Steakhouse / 刃扒房,Asia,China,Beijing
Gong De Lin Vegetarian Restaurant / 功德林素菜饭庄,Asia,China,Beijing
Yong He / 永和大王,Asia,China,Beijing
Black Sesame Kitchen,Asia,China,Beijing
Gonin Byakusho Japanese Restaurant / 五人百姓日本料理,Asia,China,Beijing
Xi He Ya Ju / 羲和雅居,Asia,China,Beijing
Yu Restaurant / 玉餐厅,Asia,China,Beijing
Nobu,Asia,China,Beijing
China Grill / 亮,Asia,China,Beijing
Fangshan Restaurant / 仿膳饭庄,Asia,China,Beijing
Beijing Capital Museum / 北京首都博物馆,Asia,China,Beijing
Old Dock Restaurant / 老船坞,Asia,China,Beijing
Beijing Aquarium / 北京海洋馆,Asia,China,Beijing
Happy Valley Beijing / 北京欢乐谷,Asia,China,Beijing
National Museum of China / 中国国家博物馆,Asia,China,Beijing
Beihai Park / 北海公园,Asia,China,Beijing
Chaoyang Theatre Acrobatics Show / 朝阳剧场,Asia,China,Beijing
798 Art Zone,Asia,China,Beijing
The Great Wall of China / 长城,Asia,China,Beijing
Yonghe Temple / 雍和宫,Asia,China,Beijing
Liulichang / 琉璃厂,Asia,China,Beijing
Temple of Heaven / 天坛,Asia,China,Beijing
The Summer Palace / 颐和园,Asia,China,Beijing
The Forbidden City / 故宫,Asia,China,Beijing
Tian'anmen Square / 天安门广场,Asia,China,Beijing
M1NT,Asia,China,Shanghai
Shanghai Captain Youth Hostel,Asia,China,Shanghai
Holiday Inn Shanghai Pudong Kangqiao,Asia,China,Shanghai
88 Xintiandi,Asia,China,Shanghai
Ruijin Guesthouse,Asia,China,Shanghai
Shanghai Old Street / 上海老街,Asia,China,Shanghai
Grand Hyatt,Asia,China,Shanghai
Xintiandi / 新天地,Asia,China,Shanghai
Three on the Bund / 外滩三号,Asia,China,Shanghai
The Paramount / 百乐门,Asia,China,Shanghai
Nanjing Road Pedestrian / 南京路步行街,Asia,China,Shanghai
Boxing Cat Brewery / 拳击猫啤酒屋,Asia,China,Shanghai
House of Blues and Jazz,Asia,China,Shanghai
M Glam / 魅蓝,Asia,China,Shanghai
Cottons / 棉花酒吧,Asia,China,Shanghai
Barbarossa,Asia,China,Shanghai
Bar Rouge,Asia,China,Shanghai
El Willy,Asia,China,Shanghai
Element Fresh / 新元素餐厅,Asia,China,Shanghai
Antique Garden / 古董花园,Asia,China,Shanghai
Kommune / 公社咖啡,Asia,China,Shanghai
Maya / 玛雅墨西哥餐厅,Asia,China,Shanghai
Franck Bistrot,Asia,China,Shanghai
CHAR bar and grill & 恰餐厅,Asia,China,Shanghai
M On The Bund / 米氏西餐厅,Asia,China,Shanghai
Crystal Jade / 翡翠酒家,Asia,China,Shanghai
Abbey Road  / 艾比之路,Asia,China,Shanghai
Shanghai World Financial Center / 上海环球金融中心,Asia,China,Shanghai
Shanghai Museum / 上海博物馆,Asia,China,Shanghai
Bund Tourist Tunnel / 外滩观光隧道,Asia,China,Shanghai
Shanghai Science & Technology Museum / 上海科技馆,Asia,China,Shanghai
Oriental Pearl TV Tower / 东方明珠,Asia,China,Shanghai
People's Square / 人民广场,Asia,China,Shanghai
Shanghai Ocean Aquarium / 上海海洋水族馆,Asia,China,Shanghai
Jin Mao Tower / 金茂大厦,Asia,China,Shanghai
Jade Buddha Temple / 玉佛禅寺,Asia,China,Shanghai
Yu Garden / 豫园,Asia,China,Shanghai
Shanghai Circus World / 上海马戏城,Asia,China,Shanghai
Maglev / 磁悬浮,Asia,China,Shanghai
The Bund / 外滩,Asia,China,Shanghai
Middle East Film and Comic Con,Asia,United Arab Emirates,Dubai
Iconic Hotels,Asia,United Arab Emirates,Dubai
Business Hotels,Asia,United Arab Emirates,Dubai
Budget Hotels,Asia,United Arab Emirates,Dubai
City Hotels,Asia,United Arab Emirates,Dubai
Desert Hotels,Asia,United Arab Emirates,Dubai
Beach Hotels,Asia,United Arab Emirates,Dubai
Cinema,Asia,United Arab Emirates,Dubai
Lounges,Asia,United Arab Emirates,Dubai
Dynamic Nightspots,Asia,United Arab Emirates,Dubai
Shopping,Asia,United Arab Emirates,Dubai
Live Music Venues,Asia,United Arab Emirates,Dubai
Fashion Forward,Asia,United Arab Emirates,Dubai
Dubai Sports World,Asia,United Arab Emirates,Dubai
Dubai Summer Surprises,Asia,United Arab Emirates,Dubai
Eid Al Fitr,Asia,United Arab Emirates,Dubai
Ramadan,Asia,United Arab Emirates,Dubai
Al Gaffal Long Distance Race,Asia,United Arab Emirates,Dubai
Art Dubai,Asia,United Arab Emirates,Dubai
World Art Dubai,Asia,United Arab Emirates,Dubai
Dubai Food Festival,Asia,United Arab Emirates,Dubai
Omega Dubai Desert Classics,Asia,United Arab Emirates,Dubai
New Year in Dubai,Asia,United Arab Emirates,Dubai
Dubai Duty Free Tennis Championship,Asia,United Arab Emirates,Dubai
Dubai International Boat Show,Asia,United Arab Emirates,Dubai
Dubai World Cup,Asia,United Arab Emirates,Dubai
Emirates Airline Festival of Literature,Asia,United Arab Emirates,Dubai
Dubai Shopping Festival,Asia,United Arab Emirates,Dubai
Dubai Fitness Challenge (DFC),Asia,United Arab Emirates,Dubai
Sikka Art Fair,Asia,United Arab Emirates,Dubai
Mindfulness,Asia,United Arab Emirates,Dubai
Yoga,Asia,United Arab Emirates,Dubai
Destination Spas,Asia,United Arab Emirates,Dubai
Hammams,Asia,United Arab Emirates,Dubai
Beauty Salons,Asia,United Arab Emirates,Dubai
Arabian Beauty,Asia,United Arab Emirates,Dubai
Fast Food,Asia,United Arab Emirates,Dubai
Private Dining,Asia,United Arab Emirates,Dubai
Experiential Dining,Asia,United Arab Emirates,Dubai
Business Restaurants,Asia,United Arab Emirates,Dubai
Street Food,Asia,United Arab Emirates,Dubai
Outdoor Dining,Asia,United Arab Emirates,Dubai
Vegan & Healthy Eating,Asia,United Arab Emirates,Dubai
Cafés & Bakeries,Asia,United Arab Emirates,Dubai
Kid-Friendly Restaurants,Asia,United Arab Emirates,Dubai
Fine Dining,Asia,United Arab Emirates,Dubai
Beachside Dining,Asia,United Arab Emirates,Dubai
Brunch,Asia,United Arab Emirates,Dubai
Homegrown Labels,Asia,United Arab Emirates,Dubai
Celebrity Chefs,Asia,United Arab Emirates,Dubai
Emirati Cuisine,Asia,United Arab Emirates,Dubai
Beachside Shopping,Asia,United Arab Emirates,Dubai
Souks,Asia,United Arab Emirates,Dubai
Malls,Asia,United Arab Emirates,Dubai
Luxury Shopping,Asia,United Arab Emirates,Dubai
Boutiques,Asia,United Arab Emirates,Dubai
Festivals,Asia,United Arab Emirates,Dubai
Extreme Fun,Asia,United Arab Emirates,Dubai
Dubai Safari,Asia,United Arab Emirates,Dubai
Hatta Wadi Hub,Asia,United Arab Emirates,Dubai
Hot Air Balloon,Asia,United Arab Emirates,Dubai
Quad Biking,Asia,United Arab Emirates,Dubai
Sandboarding,Asia,United Arab Emirates,Dubai
Camping,Asia,United Arab Emirates,Dubai
